"Datetime";"ContentID";"ContentType";"Category";"Reaction";"Score";"URL"
"2021-03-07 12:40:11";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Interested";30;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-05-24 03:21:13";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-01-24 11:03:43";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-04-09 02:46:20";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-02-02 03:43:43";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-02-04 03:06:12";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Interested";30;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-11-09 02:49:59";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-09-29 16:00:27";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Scared";15;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-02-13 07:54:01";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Want";70;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-07-14 05:28:44";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Interested";30;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-08-23 10:30:37";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-05-10 09:27:42";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Worried";12;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2021-03-15 03:59:11";"97522e57-d9ab-4bd6-97bf-c24d952602d2";"Photo";"Studying";"Hate";5;"https://socialbuzz.cdn.com/content/storage/97522e57-d9ab-4bd6-97bf-c24d952602d2"
"2020-06-25 17:01:58";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2020-09-13 00:11:50";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Intrigued";45;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2020-08-20 18:17:06";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-02-11 04:53:56";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Scared";15;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-03-08 10:40:53";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Hate";5;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-03-28 21:15:26";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-05-25 01:00:28";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Hate";5;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-03-15 12:17:43";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Like";50;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-05-05 16:26:43";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Love";65;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-06-16 03:02:28";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Heart";60;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2020-07-07 10:52:30";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2020-08-20 07:59:11";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2020-09-23 11:15:19";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Love";65;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2021-03-24 05:56:19";"9f737e0a-3cdd-4d29-9d24-753f4e3be810";"Photo";"Healthy Eating";"Like";50;"https://socialbuzz.cdn.com/content/storage/9f737e0a-3cdd-4d29-9d24-753f4e3be810"
"2020-12-07 19:13:23";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Hate";5;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-08-03 16:41:04";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-01-10 15:36:01";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Adore";72;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-09-20 08:48:13";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Scared";15;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-07-20 14:06:31";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Cherish";70;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-10-24 12:15:34";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Adore";72;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-06-06 01:27:19";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Interested";30;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-12-25 00:09:41";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Heart";60;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-06-14 07:56:56";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Like";50;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-11-18 23:37:37";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Hate";5;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-05-09 02:42:43";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Interested";30;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-05-11 08:38:47";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-11-12 08:00:05";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-06-21 16:57:09";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Heart";60;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-03-04 23:58:54";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-07-09 16:47:07";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Want";70;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-08-01 19:16:01";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Hate";5;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-11-23 22:46:17";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-04-23 23:41:18";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-11-13 00:33:42";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Want";70;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-06-09 10:13:56";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Interested";30;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-10-29 19:41:49";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Love";65;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-05-14 12:47:27";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Heart";60;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-08-04 05:40:33";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-08-07 04:09:29";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Adore";72;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-10-23 21:19:27";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Adore";72;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-11-14 23:53:51";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Adore";72;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2020-11-12 04:54:46";"230c4e4d-70c3-461d-b42c-ec09396efb3f";"Photo";"Healthy Eating";"Interested";30;"https://socialbuzz.cdn.com/content/storage/230c4e4d-70c3-461d-b42c-ec09396efb3f"
"2021-04-03 12:17:12";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Worried";12;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2020-09-27 22:15:54";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Want";70;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2020-10-27 05:45:15";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Heart";60;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2020-10-15 09:11:23";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Scared";15;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2021-05-07 09:16:35";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Heart";60;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2020-09-16 08:39:40";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Hate";5;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2020-10-29 15:38:26";"356fff80-da4d-4785-9f43-bc1261031dc6";"Photo";"Technology";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/356fff80-da4d-4785-9f43-bc1261031dc6"
"2021-05-24 18:03:26";"01ab84dd-6364-4236-abbb-3f237db77180";"Video";"Food";"Scared";15;"https://socialbuzz.cdn.com/content/storage/01ab84dd-6364-4236-abbb-3f237db77180"
"2021-02-12 16:37:36";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Cherish";70;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-04-28 15:22:49";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Heart";60;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-01-24 00:38:50";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Intrigued";45;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-03-18 01:53:44";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Worried";12;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-01-14 07:21:32";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-12-23 04:11:42";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Heart";60;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-05-21 07:23:46";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Hate";5;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-03-28 23:25:16";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Like";50;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-09-16 07:33:24";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Peeking";35;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-03-06 05:23:29";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Heart";60;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-01-13 23:35:56";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-09-06 22:35:47";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Want";70;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-06-24 09:31:00";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Interested";30;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-02-07 21:39:16";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Hate";5;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-01-21 18:28:01";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Intrigued";45;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-02-27 00:21:50";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-08-22 12:06:49";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Worried";12;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-08-03 06:29:58";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Cherish";70;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-06-04 04:57:36";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Want";70;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-10-21 09:07:21";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Super Love";75;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-12-26 19:46:34";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Dislike";10;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-03-02 22:47:19";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Scared";15;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-03-31 09:48:00";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Indifferent";20;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-06-14 13:44:48";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Interested";30;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-12-27 17:04:31";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Scared";15;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-02-11 03:51:01";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Scared";15;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-12-07 19:07:35";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Interested";30;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-10-26 05:27:32";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Interested";30;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-09-26 18:43:58";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Worried";12;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-11-25 13:01:22";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Scared";15;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-07-11 05:51:54";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Heart";60;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-03-19 16:23:19";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Heart";60;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-10-11 18:31:06";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Interested";30;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-11-02 20:15:03";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Heart";60;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2020-10-01 03:35:13";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Want";70;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
"2021-02-11 20:10:20";"3f8590c7-6ab2-4973-805a-90cdec355f05";"Video";"Dogs";"Disgust";0;"https://socialbuzz.cdn.com/content/storage/3f8590c7-6ab2-4973-805a-90cdec355f05"
